Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,PlayerPictureId,PG,PM,PPTS,PTRB,PAST,PSTL,PBLK,PTO,PFGM,PFGA,P3PM,P3PA,PFTA,PFTM,POREB,PDREB,PDD,PTD
34,Darius Bazley,PF,22,BKN,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,5.2,616,83,183,20,53,63,130,38,70,34,104,138,38,22,34,27,224,fallback,29,11.10345,4.34483,2.51724,0.55172,0.34483,0.34483,0.51724,1.58621,3.75862,0.48276,1.55172,0.68966,0.96552,0.41379,2.10345,2.1,0
35,Bradley Beal,PG-SG,29,PHO,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,23.2,1673,444,878,80,219,364,659,192,228,41,155,196,271,45,33,145,1160,203078,69,35.37681,21.23188,3.78261,4.86957,1.14493,0.34783,3.17391,7.98551,16.44928,2.08696,5.6087,3.17391,3.75362,0.76812,3.01449,4.2,0
36,Malik Beasley,SG,26,MIL,81,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,12.7,2093,370,937,235,658,135,279,50,65,35,248,283,124,65,9,90,1025,1627736,70,23.71429,8.27143,2.07143,1.08571,0.82857,0.11429,0.4,2.84286,7.4,2.12857,5.61429,0.45714,0.55714,0.24286,1.84286,0.4,0
37,MarJon Beauchamp,SG,22,MIL,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,5.1,701,96,243,47,142,49,101,27,37,38,77,115,35,21,7,45,266,1630699,65,14.4,5.84615,2.70769,0.93846,0.27692,0.2,0.89231,2.16923,5.07692,0.43077,1.23077,1.07692,1.44615,0.81538,1.89231,0,0
38,Davis Bertans,PF,30,OKC,45,1,10.9,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.3,0.3,0.867,0.2,1,1.2,0.5,0.2,0.2,0.2,4.6,492,69,160,55,141,14,19,13,15,10,43,53,21,11,8,10,206,202722,51,14.09804,5.78431,2.03922,0.54902,0.29412,0.21569,0.33333,1.84314,4.80392,1.47059,4.01961,0.62745,0.70588,0.21569,1.84314,0,0
39,Patrick Beverley,PG,34,PHI,67,67,27.1,2.1,5.4,0.4,1.2,3.6,0.335,1,1.8,0.529,0.7,1,0.723,0.7,3,3.7,2.9,0.9,0.6,0.9,6.2,1816,144,360,80,239,64,121,47,65,44,203,247,194,63,41,60,415,201976,62,22.19355,5.8871,2.90323,2.41935,0.72581,0.32258,0.69355,2.01613,5,1.12903,3.06452,0.72581,0.96774,0.40323,2.5,2,0
40,Saddiq Bey,SF-PF,23,ATL,77,37,27.6,4.6,10.9,0.422,2,5.4,0.361,2.6,5.4,0.483,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,13.8,2129,353,836,151,418,202,418,205,238,98,264,362,118,70,13,71,1062,1630180,74,26.40541,12.45946,4.31081,2.27027,0.71622,0.16216,0.93243,4.12162,9.5,2.12162,5.7027,2.09459,2.48649,1.04054,3.25676,5,0
41,Khem Birch,C,30,SAS,20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,2.2,162,19,32,1,2,18,30,4,5,8,17,25,7,5,5,8,43,203920,15,6.6,1.66667,1.6,0.4,0.2,0.2,0.2,0.66667,1.33333,0,0.06667,0.33333,0.46667,0.8,0.8,0,0
42,Goga Bitadze,C,23,SAS,38,1,12,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.6,1.1,0.548,1.6,2,3.6,1,0.4,0.7,0.6,4.4,457,69,125,6,26,63,99,23,42,61,76,137,39,16,26,22,167,fallback,48,11.10417,5.33333,2.6875,0.83333,0.3125,0.64583,0.70833,2,3.83333,0.35417,1.20833,0.97917,1.4375,1.20833,1.5,1.4,0
43,Bismack Biyombo,C,30,N/A,61,14,14.3,2,3.4,0.578,0,0,0,2,3.4,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,4.3,874,119,206,0,0,119,206,25,70,89,171,260,56,18,88,51,263,202687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Buddy Boeheim,PG,23,DET,10,0,9,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.2,0.2,1,0.2,0.4,0.6,0.4,0.2,0,0,1.6,90,5,27,4,25,1,2,2,2,2,4,6,4,2,0,0,16,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Bogdan Bogdanovic,SG-SF,30,ATL,54,9,27.9,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,1.2,1.4,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,14,1508,273,611,146,360,127,251,64,77,23,142,165,150,43,18,65,756,203992,64,27.5,12.45313,3.71875,2.89063,1.01563,0.20313,1.04688,4.54688,10.4375,2.35938,6.28125,1,1.15625,0.4375,3.28125,1.6,0
46,Bojan Bogdanovic,SF-PF,33,DET,59,59,32.1,7.3,14.9,0.488,2.5,6,0.411,4.8,9,0.539,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,21.6,1893,430,882,145,353,285,529,268,303,36,187,223,152,34,8,135,1273,202711,68,29.5,16.02941,4.10294,1.66176,0.47059,0.01471,1.63235,5.42647,11.92647,2.29412,5.89706,2.88235,3.27941,0.80882,3.29412,1.6,0
47,Bol Bol,PF-C,23,PHO,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,1.2,1.5,0.759,1,4.8,5.8,1,0.4,1.2,1.6,9.1,1505,261,478,30,113,231,365,82,108,69,336,405,69,30,85,112,634,fallback,60,16,6.75,4.6,0.7,0.3,1.1,1.1,2.75,5.1,0.33333,1.2,0.91667,1.2,0.8,3.8,2.9,0
48,Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,0.15,0,0.3,0,0.2,1.1,0.188,0,0,0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.4,68,3,20,0,4,3,16,0,0,4,3,7,7,3,1,7,6,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Devin Booker,SG-SF,26,PHO,53,53,34.6,9.9,20.1,0.494,2.1,6,0.351,7.8,14.2,0.554,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1,0.3,2.7,27.8,1835,527,1067,111,316,416,751,306,358,46,194,240,293,51,18,145,1471,1626164,70,34.9,25.01429,4.61429,6.55714,0.97143,0.38571,2.41429,9.02857,18.64286,2.08571,5.77143,4.87143,5.65714,0.6,4,5.6,0
